,ID,Link,Title,Price,Miles,Score,Motor,Drive_Type,Transmission,Color,Prior_Use,PreOwner_Amount,Features
402,403,https://www.carmax.com//car/23591812,2022 Kia EV6 GT-Line,"$48,998",24K,1,Electric,All Wheel Drive,Automatic,White/Blue,None,1,"['A/C Seat(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leather Seats', 'Rear Seat Heaters', 'Sunroof(s)', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Meridian Audio', 'SiriusXM Trial Available', 'Automated Parking', 'Automatic Highbeams', 'Bluetooth Technology', 'Head Up Display', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Rear Spoiler', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Apple CarPlay', 'Parking Sensors', 'Automated Cruise Control', 'Lane Departure Warning', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
403,404,https://www.carmax.com//car/24025196,2019 Hyundai Ioniq Electric ,"$20,998",37K,4,Electric,Front Wheel Drive,Automatic,Black/Black,Leased vehicle,1,"['Air Conditioning', 'Cloth Seats', 'Front Seat Heaters', 'CD Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Cruise Control', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Apple CarPlay', 'Android Auto', 'Apple CarPlay']"
404,405,https://www.carmax.com//car/23440759,2019 Audi e-tron Prestige,"$46,998",46K,7,Electric,All Wheel Drive,Automatic,Black/Cream,Leased vehicle,1,"['A/C Seat(s)', 'Cruise Control', 'Air Conditioning', 'Front Seat Heaters', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'Bang & Olufsen Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Rear Sunshade', 'Side Airbags', 'Universal Garage Door Opener', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Apple CarPlay', 'Parking Sensors', 'Android Auto', 'Apple CarPlay', 'Cross-Traffic Alert', 'Parking Sensors']"
405,406,https://www.carmax.com//car/24133423,2019 Tesla Model X Long Range,"$64,998",47K,9,Electric,All Wheel Drive,Automatic,Black/Black,None,1,"['Air Conditioning', 'Automated Parking', 'Fold-Away Third Row', 'Third Row Seat', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Satellite Radio Ready', 'Bluetooth Technology', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Adjustable Suspension', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Lane Departure Warning', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
406,407,https://www.carmax.com//car/24112040,2022 Kia EV6 GT-Line,"$47,998",21K,A,Electric,All Wheel Drive,Automatic,Blue/Black,None,1,"['A/C Seat(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leather & Suede Seats', 'Rear Seat Heaters', 'Sunroof(s)', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Meridian Audio', 'SiriusXM Trial Available', 'Automated Parking', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Head Up Display', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Lane Departure Warning', 'Parking Sensors', 'Automated Cruise Control', 'Apple CarPlay', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
407,408,https://www.carmax.com//car/24016600,2019 Audi e-tron Prestige,Price unavailable,29K,1,Electric,All Wheel Drive,Automatic,Blue/Cream,Leased vehicle,1,"['Apple CarPlay', 'Blind Spot Monitor', 'Parking Sensors']"
408,409,https://www.carmax.com//car/24174085,2020 Tesla Model Y Long Range,"$45,998",40K,7,Electric,All Wheel Drive,Automatic,White/White,Leased vehicle,4 ,"['Cruise Control', 'Skylight(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Blind Spot Monitor', 'Lane Departure Warning', 'Cross-Traffic Alert', 'Parking Sensors']"
409,410,https://www.carmax.com//car/23726781,2015 BMW I3 Tera World,"$20,998",28K,1,Electric,"Automatic
T",Gra,"Leased vehicle
Pri",Leased vehicle,3 ,"['20 Inch Plus Wheels', 'Automated Parking', 'Bluetooth Technology', 'Harman Kardon Sound', 'Navigation System', 'Rear View Camera', 'Smart Key', 'Driver Assistance Package', 'Technology Package', 'Air Conditioning', 'Front Seat Heaters', 'Leather Seats', 'AM/FM Stereo', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Automated Cruise Control', 'Parking Sensors']"
410,411,https://www.carmax.com//car/24089976,2019 Audi e-tron Premium Plus,"$47,998",23K,P,Electric,All Wheel Drive,Automatic,Blue/Brown,None,1,"['A/C Seat(s)', 'Automated Parking', 'Head Up Display', 'Rear A/C Seat(s)', 'Rear Seat Heaters', 'Air Conditioning', 'Front Seat Heaters', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'Seat Massagers', 'Bang & Olufsen Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Rear Sunshade', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Apple CarPlay', 'Parking Sensors', 'Automated Cruise Control', 'Lane Departure Warning', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
411,412,https://www.carmax.com//car/24238033,2021 Audi e-tron Prestige,"$56,998",14K,P,Electric,All Wheel Drive,Automatic,Black/Black,Leased vehicle,1,"['Heated Steering Wheel', 'A/C Seat(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'Rear Air Conditioning', 'Seat Massagers', 'Bang & Olufsen Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Head Up Display', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Adjustable Suspension', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Apple CarPlay', 'Lane Departure Warning', 'Automated Cruise Control', 'Parking Sensors', 'Parking Sensors', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning']"
412,413,https://www.carmax.com//car/24237319,2022 Volvo C40 Recharge Electric Ultimate,"$49,998",8K,8,Electric,All Wheel Drive,Automatic,Blue/Gray,Leased vehicle,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette & Cloth', 'Memory Seat(s)', 'Rear Seat Heaters', 'Harman Kardon Sound', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Apple CarPlay', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Parking Sensors']"
413,414,https://www.carmax.com//car/23607170,2022 Audi e-tron Premium,"$54,998",20K,P,Electric,All Wheel Drive,Automatic,White/Black,Leased vehicle,2 ,"['Air Conditioning', 'Cruise Control', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'Auxiliary Audio Input', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Adjustable Suspension', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Lane Departure Warning', 'Blind Spot Monitor', 'Parking Sensors', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
414,415,https://www.carmax.com//car/24005986,2022 Hyundai Ioniq 5 SE,Price unavailable,12K,4,Electric,Rear Wheel Drive,Automatic,White/Gray,Leased vehicle,1,"['Automated Cruise Control', 'Apple CarPlay', 'Parking Sensors', 'Lane Departure Warning', 'Blind Spot Monitor']"
415,416,https://www.carmax.com//car/23517743,2022 Kia EV6 Wind,"$43,998",20K,6,Electric,Rear Wheel Drive,Automatic,Black/Black,None,2 ,"['A/C Seat(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette Seats', 'Memory Seat(s)', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Meridian Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Lane Departure Warning', 'Automated Cruise Control', 'Apple CarPlay', 'Parking Sensors', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
416,417,https://www.carmax.com//car/23534521,2020 Tesla Model S Performance,Price unavailable,13K,9,Electric,All Wheel Drive,Automatic,Gray/Black,None,2 ,"['Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Lane Departure Warning']"
417,418,https://www.carmax.com//car/24034084,2022 Kia EV6 Light,"$37,998",25K,5,Electric,Rear Wheel Drive,Automatic,White/Black,Leased vehicle,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette & Cloth', 'Memory Seat(s)', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Automated Cruise Control', 'Apple CarPlay', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
418,419,https://www.carmax.com//car/23321169,2021 Ford Mustang Mach-E California Route 1,"$48,998",7K,6,Electric,Rear Wheel Drive,Automatic,White/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Leatherette Seats', 'Memory Seat(s)', 'AM/FM Stereo', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automated Parking', 'Automatic Highbeams', 'Bluetooth Technology', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Automated Cruise Control', 'Apple CarPlay', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
419,420,https://www.carmax.com//car/23931010,2019 Tesla Model 3 Standard Range Plus,"$32,998",36K,6,Electric,Rear Wheel Drive,Automatic,Blue/Black,Leased vehicle,2 ,"['Automated Parking', 'Leatherette Seats', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Skylight(s)', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Bluetooth Technology', 'Navigation System', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Parking Sensors']"
420,421,https://www.carmax.com//car/23944040,2019 Audi e-tron Prestige,"$44,998",44K,9,Electric,All Wheel Drive,Automatic,Black/Black,None,1,"['A/C Seat(s)', 'Head Up Display', 'Rear A/C Seat(s)', 'Rear Seat Heaters', 'Driver Assistance Package', 'Air Conditioning', 'Front Seat Heaters', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'Bang & Olufsen Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Rear Sunshade', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Apple CarPlay', 'Blind Spot Monitor', 'Automated Cruise Control', 'Android Auto', 'Apple CarPlay', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Parking Sensors']"
421,422,https://www.carmax.com//car/24243625,2022 Tesla Model 3 Long Range,"$46,998",9K,9,Electric,All Wheel Drive,Automatic,Gray/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Skylight(s)', 'Automated Parking', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Parking Sensors']"
422,423,https://www.carmax.com//car/22897074,2018 Nissan Leaf SL,"$22,998",37K,9,Electric,Front Wheel Drive,Automatic,White/Gray,Leased vehicle,3 ,"['Cruise Control', 'Technology Package', 'Air Conditioning', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leather & Suede Seats', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Bose Sound System', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Navigation System', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Apple CarPlay', 'Lane Departure Warning', 'Blind Spot Monitor', 'Lane Departure Warning', 'Android Auto', 'Apple CarPlay', 'Blind Spot Monitor', 'Cross-Traffic Alert']"
423,424,https://www.carmax.com//car/23131472,2020 Tesla Model 3 Standard Range Plus,Price unavailable,55K,7,Electric,Rear Wheel Drive,Automatic,Gray/Black,None,2 ,"['Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor']"
424,425,https://www.carmax.com//car/23452287,2022 Hyundai Ioniq 5 Limited,"$48,998",11K,9,Electric,All Wheel Drive,Automatic,Blue/Gray,None,1,"['A/C Seat(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Skylight(s)', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Bose Sound System', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automated Parking', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Head Up Display', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Rear Sunshade', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Parking Sensors', 'Automated Cruise Control', 'Apple CarPlay', 'Lane Departure Warning', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
425,426,https://www.carmax.com//car/23925934,2021 Tesla Model Y Standard Range,"$47,998",24K,7,Electric,Rear Wheel Drive,Automatic,Red/Black,None,1,"['20 Inch Plus Wheels', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Skylight(s)', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Automatic Transmission', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
426,427,https://www.carmax.com//car/23539036,2022 Ford Mustang Mach-E SELECT,"$44,998",11K,7,Electric,All Wheel Drive,Automatic,Gray/Black,None,1,"['Automated Parking', 'Power Hatch/Deck Lid', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Leatherette Seats', 'AM/FM Stereo', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Sync System', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Remote Start', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Apple CarPlay', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Android Auto', 'Apple CarPlay', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
427,428,https://www.carmax.com//car/23707740,2021 Mini Cooper Hardtop Electri SE,"$28,998",13K,8,Electric,Front Wheel Drive,Automatic,Silver/Black,None,1,"['Alloy Wheels', 'Cruise Control', 'Front Seat Heaters', 'Harman Kardon Sound', 'Leatherette & Cloth', 'Navigation System', 'Panoramic Sunroof', 'Run Flat Tires', 'Smart Key', 'Air Conditioning', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Automatic Highbeams', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', 'ABS Brakes', 'Daytime Running Lights', 'Fog Lamps', 'Rear Defroster', 'Traction Control', 'Turbo Charged Engine', 'Automatic Transmission', 'Apple CarPlay', 'Parking Sensors', 'Apple CarPlay', 'Parking Sensors']"
428,429,https://www.carmax.com//car/23840244,2019 Audi e-tron Premium Plus,"$45,998",28K,1,Electric,All Wheel Drive,Automatic,Blue/Brown,Leased vehicle,1,"['A/C Seat(s)', 'Cruise Control', 'Head Up Display', 'Driver Assistance Package', 'Air Conditioning', 'Front Seat Heaters', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'Seat Massagers', 'Sunroof(s)', 'AM/FM Stereo', 'Bang & Olufsen Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Rear Sunshade', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Adjustable Suspension', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Lane Departure Warning', 'Automated Cruise Control', 'Apple CarPlay', 'Parking Sensors', 'Automated Cruise Control', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
429,430,https://www.carmax.com//car/24148867,2018 Tesla Model 3 Mid Range,"$35,998",25K,A,Electric,Rear Wheel Drive,Automatic,White/Black,None,1,"['Automated Parking', 'Front Seat Heaters', 'Rear Seat Heaters', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Leather Seats', 'Skylight(s)', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Lane Departure Warning', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
430,431,https://www.carmax.com//car/23839420,2020 Tesla Model Y Long Range,"$44,998",48K,9,Electric,All Wheel Drive,Automatic,Red/Black,None,1,"['20 Inch Plus Wheels', 'Cruise Control', 'Leather Seats', 'Satellite Radio Ready', 'Skylight(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Memory Seat(s)', 'Rear Seat Heaters', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Parking Sensors', 'Lane Departure Warning', 'Blind Spot Monitor', 'Blind Spot Monitor', 'Lane Departure Warning', 'Cross-Traffic Alert', 'Parking Sensors']"
